EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1183028.111,-3630.714,1164093.663,10924.091,40093.578,504416.025,50120.307,53490.962,-0.113,0.981,-0.139,-0.031,2.472,0.610,60.000,38.000,1.000
1172494.335,-4821.840,1155612.775,8948.257,40438.599,499951.396,48920.311,53098.007,-0.112,0.982,-0.143,-0.092,2.563,0.610,60.000,39.000,1.000
1163638.090,-7504.986,1146493.530,2764.302,42017.348,495514.417,48164.398,52600.026,-0.111,0.979,-0.138,0.031,2.625,0.610,60.000,40.000,1.000
1156387.818,-11235.474,1137535.173,-1959.864,42415.518,488536.686,48229.463,52182.721,-0.111,0.979,-0.138,0.061,2.655,0.610,60.000,41.000,1.000
1148816.527,-14198.350,1129174.014,-2412.325,41170.633,477116.390,48490.058,51912.416,-0.111,0.978,-0.140,0.183,2.563,0.702,60.000,42.000,1.000
1139839.907,-15667.443,1121095.897,-1281.307,39765.144,461074.560,48219.804,51661.329,-0.110,0.980,-0.141,0.214,2.625,0.732,60.000,43.000,1.000
1130284.631,-16658.611,1112823.939,-2286.606,39439.311,441609.377,47410.740,51290.564,-0.112,0.981,-0.144,0.183,2.777,0.763,60.000,44.000,1.000
1121470.504,-18396.107,1104275.870,-5695.024,39970.071,420727.035,46645.440,50829.622,-0.112,0.980,-0.140,0.183,2.655,0.763,60.000,45.000,1.000
1113607.816,-20886.214,1095679.150,-9004.968,40387.611,400579.319,46373.620,50421.647,-0.113,0.981,-0.141,0.214,2.625,0.702,60.000,46.000,1.000
1105876.707,-23200.977,1087226.938,-10442.626,40114.543,382482.303,46461.705,50128.697,-0.111,0.980,-0.141,0.336,2.625,0.732,60.000,47.000,1.000
1097574.416,-24706.580,1078966.444,-10510.508,39281.521,366340.228,46406.190,49861.276,-0.112,0.981,-0.142,0.397,2.747,0.763,60.000,48.000,1.000
1088761.270,-25650.853,1070850.028,-10739.960,38437.728,351292.766,45894.274,49508.777,-0.111,0.982,-0.142,0.397,2.747,0.824,60.000,49.000,1.000
1079970.481,-26700.876,1062734.207,-12059.921,38150.145,336889.233,45128.056,49082.248,-0.112,0.981,-0.142,0.580,2.686,0.763,60.000,50.000,1.000
1071636.459,-28211.583,1054438.953,-14297.946,38527.527,323304.824,44597.813,48686.498,-0.111,0.981,-0.144,0.458,2.625,0.732,60.000,51.000,1.000
1063776.128,-29963.827,1045973.813,-16465.802,38942.819,310487.367,44530.963,48376.792,-0.111,0.979,-0.143,0.519,2.563,0.763,60.000,52.000,1.000
1055990.035,-31446.709,1037630.880,-17475.147,38561.206,297730.583,44609.950,48095.165,-0.109,0.980,-0.138,0.519,2.625,0.641,60.000,53.000,1.000
1047785.031,-32361.550,1029661.805,-17221.737,37403.752,284524.938,44322.232,47756.924,-0.110,0.978,-0.138,0.580,2.655,0.641,60.000,54.000,1.000
1039098.746,-32940.315,1021886.500,-17046.258,36552.412,271450.993,43586.861,47359.860,-0.110,0.978,-0.139,0.610,2.747,0.610,60.000,55.000,1.000
1030489.277,-33750.610,1013848.737,-18431.789,36867.362,259599.621,42891.858,46976.530,-0.110,0.979,-0.139,0.671,2.716,0.641,60.000,56.000,1.000
1022558.374,-35073.245,1005428.889,-21012.713,37726.467,249116.500,42704.470,46654.581,-0.110,0.980,-0.140,0.671,2.716,0.610,60.000,57.000,1.000
1015146.257,-36508.519,997075.951,-22654.294,37666.546,238913.404,42856.070,46361.219,-0.111,0.979,-0.143,0.763,2.716,0.641,60.000,58.000,1.000
1007403.892,-37392.233,989239.830,-22109.137,36336.680,228097.078,42723.232,46034.349,-0.108,0.982,-0.144,0.732,2.747,0.549,60.000,59.000,1.000
998856.565,-37641.389,981725.955,-20927.954,35120.867,217184.056,42031.343,45662.502,-0.109,0.982,-0.144,0.580,2.808,0.519,60.000,60.000,1.000
990118.486,-37944.949,973908.536,-21673.127,35361.586,207364.910,41240.583,45291.711,-0.110,0.982,-0.146,0.610,2.808,0.580,60.000,61.000,1.000
982169.003,-38922.251,965582.060,-24438.338,36475.416,198797.046,40961.738,44961.731,-0.111,0.982,-0.143,0.671,2.930,0.641,60.000,62.000,1.000
975025.613,-40275.127,957280.439,-26470.296,36635.708,190320.633,41140.300,44659.186,-0.110,0.981,-0.143,0.671,2.960,0.549,60.000,63.000,1.000
967634.720,-41118.195,949569.125,-25781.822,35245.857,181046.308,41108.296,44341.176,-0.111,0.981,-0.146,0.732,2.869,0.519,60.000,64.000,1.000
959255.633,-41149.653,942254.908,-23982.866,33825.969,171600.293,40468.867,43990.380,-0.112,0.982,-0.143,0.732,2.930,0.488,60.000,65.000,1.000
950507.309,-41105.017,934626.561,-24256.921,33987.290,163262.564,39637.177,43631.773,-0.114,0.983,-0.143,0.763,2.930,0.275,60.000,66.000,1.000
942582.409,-41808.261,926428.345,-27020.296,35207.931,156179.021,39292.414,43297.435,-0.116,0.983,-0.143,0.763,2.777,0.153,60.000,67.000,1.000
935624.266,-43049.387,918224.738,-29235.233,35503.929,149133.937,39464.117,42988.307,-0.118,0.986,-0.143,0.702,2.686,0.122,60.000,68.000,1.000
928493.127,-43835.169,910632.783,-28498.369,34135.429,141212.963,39489.152,42677.249,-0.117,0.984,-0.148,0.732,2.533,0.000,60.000,69.000,1.000
920299.902,-43725.876,903471.477,-26372.230,32635.249,133041.299,38905.426,42343.772,-0.117,0.986,-0.143,0.702,2.411,-0.092,60.000,70.000,1.000
911632.132,-43451.262,896007.457,-26309.315,32718.842,125890.405,38073.633,41996.744,-0.118,0.983,-0.145,0.671,2.258,-0.305,60.000,71.000,1.000
903768.749,-43937.680,887962.369,-28936.446,33937.760,119912.883,37684.912,41661.129,-0.119,0.983,-0.143,0.580,2.228,-0.397,60.000,72.000,1.000
896935.388,-45050.685,879891.521,-31180.056,34303.295,113942.354,37826.983,41347.854,-0.120,0.980,-0.145,0.671,2.075,-0.488,60.000,73.000,1.000
889993.270,-45773.675,872415.895,-30467.828,33012.078,107108.006,37875.726,41042.302,-0.119,0.981,-0.145,0.580,2.045,-0.549,60.000,74.000,1.000
881995.308,-45589.613,865373.545,-28239.665,31522.849,100003.653,37347.293,40722.879,-0.119,0.982,-0.144,0.458,1.923,-0.519,60.000,75.000,1.000
873474.310,-45180.976,858054.568,-27952.210,31534.314,93826.071,36544.309,40386.672,-0.116,0.983,-0.144,0.397,1.740,-0.519,60.000,76.000,1.000
865701.993,-45494.867,850178.736,-30350.969,32675.609,88721.590,36129.676,40052.292,-0.115,0.983,-0.144,0.427,1.709,-0.488,60.000,77.000,1.000
858951.291,-46458.545,842264.941,-32504.349,33060.480,83613.560,36227.983,39737.081,-0.114,0.981,-0.144,0.458,1.740,-0.397,60.000,78.000,1.000
852145.335,-47096.380,834904.395,-31857.408,31881.679,77698.691,36275.980,39436.007,-0.115,0.981,-0.144,0.519,1.648,-0.305,60.000,79.000,1.000
